Channel1,Channel2,Weight
IanCrossland,Timcast,2159
Timcast,sergedotcom,1739
IanCrossland,sergedotcom,1732
,AsmonTV,1386
yellowflashguy,YellowFlash:8?r=EBXc2Ze5CbcuiHJ7Wkc7KcaGeaCiSrVk,1133
RKOutpostLive:9,RKOutpost:9,1128
lotuseatermedia:9,lotuseaters_com:1,887
jondelarroz,jdatalkscomics4650,410
sergedotcom,Timcast,340
mrgrantgregory,CultureCasino,287
sergedotcom,IanCrossland,280
Midnights_Edge,midnightsedge.me,273
theorysarcade,starwarstheory66,263
CultureCasino:b?r=3sc7es3CgPur53MxR1zUqa7D3BYoNFrX,CultureCasino,260
ValuetainmentComedy,bizdocpodcast,210
yellowflashguy,YellowFlashGuy,195
YellowFlashGuy,YellowFlash:8?r=EBXc2Ze5CbcuiHJ7Wkc7KcaGeaCiSrVk,195
LukeWeAreChange,IanCrossland,177
LukeWeAreChange,Timcast,177
HumanCyborgRelation,pourchoices_,174
LukeWeAreChange,sergedotcom,171
LukeWeAreChange,WeAreChange,171
WeAreChange,IanCrossland,171
WeAreChange,Timcast,171
sergedotcom,WeAreChange,165
MidnightsEdge,CultureCasino,161
hotmail.com,EndymionYT,159
samjroyale2334,MichaelFitzTroy,158
CultureCasino:b?r=3sc7es3CgPur53MxR1zUqa7D3BYoNFrX,MidnightsEdge,149
IanCrossland,KellenPDL,148
Timcast,KellenPDL,148
pourchoices_,xraygirllive8493,133
ValuetainmentComedy,ValuetainmentMoney,131
bizdocpodcast,ValuetainmentMoney,130
AndreEinherjar,Midnights_Edge,129
AndreEinherjar,midnightsedge.me,129
HumanCyborgRelation,xraygirllive8493,129
Zacharias423/videos,SaltyNerdPodcast/videos,128
lotuseatermedia:9,LotuseatersDotCom,112
lotuseaters_com:1,LotuseatersDotCom,112
MoreGrizzy,grizzytv,110
skizzleaxe2,scaryaxe,110
JoshLeeKwai,CommandCast,104
HeelvsBabyface,pourchoices_,103
jfwong,JoshLeeKwai,102
jfwong,wachelreeks,102
jfwong,CommandCast,102
JoshLeeKwai,wachelreeks,102
