Channel Name,Subscriber Count,View Count,Topic Details,Keywords
1 / 4 Black Garrett,"47,300","1,129,233","https://en.wikipedia.org/wiki/Action_game, https://en.wikipedia.org/wiki/Role-playing_video_game, https://en.wikipedia.org/wiki/Action-adventure_game, https://en.wikipedia.org/wiki/Video_game_culture, https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Film","""1/4 Black Garrett"" ""Quarter Black Garrett"" Garrett Nerd ""Pop culture"" ""Fandom Menace"" ""Star Wars"" Gaming ""Lord of the Rings"" Crafter Maker Crafting ""Garrett's Lair"""
ActualJusticeWarrior,"404,000","134,281,745","https://en.wikipedia.org/wiki/Politics, https://en.wikipedia.org/wiki/Society",Actual Justice Warrior SJW news youtube comedy comentary Actualjusticewarrior reaction Politics News
Adam Patch,"1,110","1,513,478",None,None
Adam Post,"43,200","19,857,280","https://en.wikipedia.org/wiki/Politics, https://en.wikipedia.org/wiki/Society","comics ""comic books"" woke ""woke hollywood"" ""hollywood woke"" college collegelife"
Albeleo,"5,760","867,050","https://en.wikipedia.org/wiki/Action_game, https://en.wikipedia.org/wiki/Action-adventure_game, https://en.wikipedia.org/wiki/Role-playing_video_game, https://en.wikipedia.org/wiki/Video_game_culture","Albeleo ""movie review"" ""film review"" ""film criticism"" ""movie criticism"" ""critical movie review"" ""film critic"" ""movie explained"" explained ""pixel art"" ""starving artist"" film movies comedy ""funny reviews"" reviews ""movie explained"" ""movie analysis"" analysis rant explain critique criticism ""movie rant"" spoiler spoilers critical ""critical reviewer"" ""film explained"""
Alteori,"617,000","125,960,997","https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Television_program, https://en.wikipedia.org/wiki/Entertainment","""movie reviews"" ""tv reviews"" explained movies tv television entertainment ""pop culture"" commentary funny ""movie commentary"" trending ALTEORI"
Andromeda,"175,000","45,050,562","https://en.wikipedia.org/wiki/Politics, https://en.wikipedia.org/wiki/Society",None
AndyPants Gaming,"185,000","11,637,500","https://en.wikipedia.org/wiki/Role-playing_video_game, https://en.wikipedia.org/wiki/Action_game, https://en.wikipedia.org/wiki/Video_game_culture, https://en.wikipedia.org/wiki/Action-adventure_game",None
AntiSimp,"57,400","17,043,369","https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Entertainment",None
Arch,"61,700","3,055,818","https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Entertainment",None
Asmongold,"3,130,000","3,019,788,891","https://en.wikipedia.org/wiki/Action_game, https://en.wikipedia.org/wiki/Action-adventure_game, https://en.wikipedia.org/wiki/Role-playing_video_game, https://en.wikipedia.org/wiki/Video_game_culture, https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Politics","mmo mmorpg wow asmongold ffxiv ZackRawrr ""asmongold channel"" ""asmongold competition"" ""asmongold highlights"" ""asmongold mcconnell"" ""asmongold mount off"" ""asmongold pvp"" ""asmongold reacts"" ""asmongold dark souls"" ""classic tbc"" ""asmongold transmog"" ""world of warcraft"" ""asmongold welfare"" ""asmongold classic wow"" ""final fantasy xiv"" ""asmongold youtube"""
Asmongold Clips,"1,030,000","1,955,904,869","https://en.wikipedia.org/wiki/Role-playing_video_game, https://en.wikipedia.org/wiki/Video_game_culture, https://en.wikipedia.org/wiki/Action_game","Asmongold ""Asmongold Clips"""
Avram,"283,000","36,089,666","https://en.wikipedia.org/wiki/Tourism, https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Society","""Cosmin Avra"" vacante vlog de travel ""cum sa calatoresti ieftin"" cum sa calatoresti ieftin bilete ieftine avion calatorii thailanda italia roma backpackyourlife lostleblanc calatorie romani ""vloggeri romania"" ""vloggeri romani"" ""Cosmin Avram"" ""Cosmin Avram vlog"" Roma Vatican ""cosmin avram travel"" ""cosmin avram italia"" ""cum calatoresti ieftin"" ""bilete de avion ieftine"" ""gradina zoologica roma"""
Baggage Claim,"315,000","42,119,773","https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Politics","""Royal Family"" ""Harry and Meghan"" ""Relationship analysis"" ""Personality Analysis"" ""Understanding narcissists"" Narcissism ""Relationship analysis"" Marvel wokeness"
Benny Johnson,"2,740,000","3,221,536,658","https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Politics",None
BoldDebate,3,41,"https://en.wikipedia.org/wiki/Politics, https://en.wikipedia.org/wiki/Society",None
Bounding Into Comics ,"21,200","4,075,960","https://en.wikipedia.org/wiki/Action_game, https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Video_game_culture","""pop culture"" ""geek culture"" ""comic books"" anime gaming ""star wars"" ""star trek"" ""movie reviews"" ""movie trailers"" marvel mcu ""dc comics"""
Bowlestrek,"40,200","13,097,670","https://en.wikipedia.org/wiki/Television_program, https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Film","""tv on dvd"" ""dvd collection"" technology computers ""city tours"" husky"
Captain Meta,"1,400","220,196","https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Television_program, https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Lifestyle_(sociology)","""Captain Meta"" ""Movie review"""
Chrissie Mayr,"100,000","19,741,969","https://en.wikipedia.org/wiki/Politics, https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Entertainment","""chrissie mayr"" chrissie chrissy mayor cmp simpcast ""stand up"" comedy comedian interview social commentary livestream ""chrissie mayr podcast"" comic chrissy ""compound media"" ""friday night tights"" ""anthony cumia"" infowars ""tim pool"" ""opie and anthony"" fox fnt"
Chuck Dixon,"10,100","610,708","https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Hobby","""comic books"" writing critcism Batman Bane Punisher ""Marvel Comcs"" ""DC Comics"""
Clown Planet,"283,000","2,115,239",None,"news update headlines top daily comedy ""clown planet"""
Clownfish TV,"570,000","300,566,097","https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Society, https://en.wikipedia.org/wiki/Politics","anime animation comics movies cartoons art videogames geek drawing comicbooks games gaming commentary news podcast podcasting ""comic books"" ""star wars"" disney TTRPG tabletop"
Comic Artist Pro Secrets,"139,000","52,330,062","https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Hobby",None
Comix Division,"13,800","201,216","https://en.wikipedia.org/wiki/Film, https://en.wikipedia.org/wiki/Entertainment","movies reviews ""star wars"" dc marvel mcu"
