Author,Comment,Like Count,Published At
@hamiltonaraujoleite4049,"I don&#39;t think it can be emphasized enough how profoundly funny it is that J.K. Rowling continues to be an unbearable feminist on most current topics, but the fact that she disagrees with the specific point of the crazies who think that a few aesthetic changes allow them to claim they&#39;ve changed gender was enough for her to be excommunicated from modern progressive politics.",694,2024-11-23T00:40:15Z
@easyyo6784,"Metatron is such a cool addition to this show, when theres is Gladiator2 on the table. Great job FNT!",352,2024-11-23T02:45:58Z
@brandonwhitehead6929,True nerds love history. Need a podcast with just Metatron and Shad reviewing movies.... I&#39;d listen.,254,2024-11-23T02:02:03Z
@St3v3nification,Thumbs up to see Metatron on here.,194,2024-11-23T04:46:05Z
@bry756,"Metatron hell yeah, been subbed to him for a while now. Shad and him should start a history podcast it would be glorious.",162,2024-11-23T02:37:36Z
@GeraltofRivia22,Metatron started out slow but really got going with Gladiator 2 and kept on from there. Nice to see him branch out.,156,2024-11-23T01:01:42Z
@2ndlegend125,"Im with Shad on the Lucius being Maximus&#39; son is stupid idea. I didn&#39;t even get that from the first movie. He acted the way he did to Lucius because his own son had recently died, and he meets a fatherless boy who also represents the future of Rome.",145,2024-11-23T03:46:28Z
@VaderPopsVicodin10,"These intros are just getting more hilarious! Another great show, fellas! Really good seeing Metatron as a &quot;first time&quot; guest. His historical acumen and historical videos are his bread n butter and he&#39;s a lover of the subject. Hope to see him on again.<br><a href=""UC5T0tXJN5CrMZUEJuz4oovw/-Wu2YMPxItG2gwOdhqFA""></a><a href=""UC5T0tXJN5CrMZUEJuz4oovw/1-xCZJ_ZBqON_9EPj-256Ag""></a>!!!",138,2024-11-23T00:34:09Z
@thesouthernwake,Pierry Chan broke me. <br>That is genius.,136,2024-11-23T02:01:46Z
@Dracounguis,It&#39;s like that Jaguar commercial was created for your show opening in mind! 🤣🤣🤣🤣,126,2024-11-23T00:38:40Z
@NathanCassidy721,The funniest thing about She-Hulk being replaced by Deadpool is Disney Marvel is admitting the truth we all knew all along:<br><br>Men are funnier than women.,117,2024-11-23T01:21:11Z
@BSGNZ,I hope JK has managed to get Emma Watson and Daniel Radcliffe secretly black listed on any WB studio product.<br>Ungrateful little sheits!,116,2024-11-23T01:35:30Z
@richardjolly3187,We like Metatron and enjoy his perspective on world history. Glad to see him on the stream.,114,2024-11-23T07:16:51Z
@High_Key,I cannot get enough of the intros the past 3 weeks. Seriously it’s too much 😂😂😂,87,2024-11-23T01:20:33Z
@Vhalior666,Please get Metatron back on the Show. It&#39;s lovely to have a different perspective and a chap who knows his history like Shad. This was one of my favourite episodes ever.,73,2024-11-23T04:18:25Z
@balakatun6984,"Epic intro, Metatron and Drinker. Holy crap only the finest of people - love you guys. Nothing better to end a week!",59,2024-11-23T07:16:48Z
@apocryphicdeath,Metatron? Now there&#39;s a name I haven&#39;t heard in a <b>long</b> time.,59,2024-11-23T00:36:08Z
@grumpyweds443,The first Gladiator had Russell Crowe and Joaquin Phoenix at the height of their powers and freaking Sir Richard Harris! Nowhere near that talent in the new one.,58,2024-11-23T02:11:51Z
@Veteran_Nerd,FNT and Metatron crossover was not on my bingo card...... but I love it!,57,2024-11-23T05:47:32Z
